                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2344,                0.99038,                 1.3808,                0.87795,                0.77778,                0.92849,                 0.4899,                 1.7326,                 1.1458,                  1.939,              0.0019218,              0.0019218,              0.0019218
                     82,                 1.3115,                0.94924,                 1.4087,                0.75437,                0.72222,                0.80439,                0.39728,                 1.9258,                 1.2975,                 2.0218,              0.0019208,              0.0019208,              0.0019208
                     83,                 1.3262,                 1.0065,                 1.4053,                0.85792,                0.67118,                0.81215,                0.44074,                 1.8782,                 1.0998,                 2.0283,              0.0019198,              0.0019198,              0.0019198
                     84,                  1.307,                 1.0728,                 1.4249,                0.88121,                0.55556,                0.70617,                0.40929,                 1.8611,                 1.1751,                 1.9654,              0.0019188,              0.0019188,              0.0019188
                     85,                  1.352,                0.95195,                 1.3645,                0.84513,                0.60669,                0.68913,                0.40126,                 1.9342,                 1.2237,                 2.0534,              0.0019178,              0.0019178,              0.0019178
                     86,                 1.2901,                0.92689,                 1.3905,                 0.7853,                 0.6097,                0.71361,                0.38745,                  1.978,                 1.1784,                  2.123,              0.0019168,              0.0019168,              0.0019168
                     87,                  1.311,                0.93625,                 1.4106,                0.78392,                0.61111,                0.75892,                0.36364,                 2.0781,                 1.1947,                 2.2831,              0.0019159,              0.0019159,              0.0019159
                     88,                 1.2425,                0.97889,                  1.395,                0.73856,                0.78503,                0.84618,                 0.3957,                 1.7584,                 1.3359,                 2.0586,              0.0019149,              0.0019149,              0.0019149
                     89,                 1.2444,                0.91713,                 1.3752,                0.82438,                0.72222,                0.86502,                0.39009,                 1.8863,                 1.3452,                  2.209,              0.0019139,              0.0019139,              0.0019139
                     90,                 1.2565,                0.89747,                 1.3327,                0.64193,                0.83333,                0.77396,                 0.3833,                 1.8799,                 1.3136,                 2.1132,              0.0019129,              0.0019129,              0.0019129
                     91,                 1.2703,                0.91234,                 1.3243,                0.65355,                0.62949,                0.71538,                0.39323,                 1.7747,                 1.2989,                 1.9575,              0.0019119,              0.0019119,              0.0019119
                     92,                 1.2306,                0.92403,                 1.3677,                0.73567,                0.66667,                0.69502,                0.37466,                 1.8529,                 1.3968,                 2.0045,              0.0019109,              0.0019109,              0.0019109
